site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone_x,GPCluster,DataZone_y,IntZone,pc_easting,pc_northing
GP_70075,Braids Medical Practice,gp,324495.43,668880.92,S02001598,323953.0,668490.0,confirmed,OSM_exact_building,70075,Braids Medical Practice,9978,Braids Medical Practice,6 Camus Avenue,Edinburgh,,EH10 6QT,0131 445  5999,17J,N,S08000024,S37000012,S01008539,Edinburgh South West - Pentlands,S01008539,S02001598,324447.0,668822.0
GP_70094,The Green Practice,gp,324691.0,674456.0,S02001658,324545.0,674546.0,confirmed,Postcode_centroid,70094,The Green Practice,10084,The Green Practice,Stockbridge Health Centre,1 India Place,Edinburgh,EH3 6EH,0131 260  9227,17C,N,S08000024,S37000012,S01008860,Edinburgh North West - Bridge,S01008860,S02001658,324691.0,674456.0
GP_70107,Leven Medical Practice,gp,324801.85,672966.86,S02001620,324934.0,673093.0,confirmed,OSM_exact_building,70107,Leven Medical Practice,6563,Leven Medical Practice,Tollcross Health Centre,Ponton Street,Edinburgh,EH3 9QQ,0131 536  9700,17J,N,S08000024,S37000012,S01008665,Edinburgh South West - Canal,S01008665,S02001620,324749.0,672986.0
GP_70126,Southfield Medical Practice,gp,330318.61,672493.25,S02001629,330649.0,672595.0,confirmed,OSM_exact_building,70126,Southfield Medical Practice,4696,Southfield Medical Practice,132 Mountcastle Drive South,Edinburgh,,EH15 3LL,0131 549  7340,17J,N,S08000024,S37000012,S01008712,Edinburgh North East - East,S01008712,S02001629,330355.0,672484.0
GP_70131,Colinton Surgery,gp,321817.97,669127.13,S02001581,322169.0,668751.0,confirmed,OSM_exact_building,70131,Colinton Surgery,11921,Colinton Surgery,296b Colinton Road,Edinburgh,,EH13 0LB,0131 441  4555,17J,N,S08000024,S37000012,S01008446,Edinburgh South West - Pentlands,S01008446,S02001581,321784.0,669131.0
GP_70164,Ferniehill Surgery,gp,329223.43,668840.64,S02001604,329436.0,669311.0,confirmed,OSM_exact_building,70164,Ferniehill Surgery,6651,Ferniehill Surgery,8 Ferniehill Road,Edinburgh,,EH17 7AB,0131 664  2166,17J,N,S08000024,S37000012,S01008565,Edinburgh South East - South,S01008565,S02001604,329209.0,668825.0
GP_70179,Leith Surgery,gp,326974.81,675884.19,S02001644,327040.0,675405.0,confirmed,OSM_exact_building,70179,Leith Surgery,10777,Leith Surgery,2 Duke Street,Edinburgh,,EH6 8HQ,0131 554  6471,17J,N,S08000024,S37000012,S01008793,Edinburgh North East - Leith,S01008793,S02001644,327009.0,675872.0
GP_70198,Niddrie Medical Practice,gp,329220.02,671616.08,S02001627,328642.0,671511.0,confirmed,OSM_exact_building,70198,Niddrie Medical Practice,4229,Niddrie Medical Practice,Craigmillar Medical Centre,106 Niddrie Mains Road,Edinburgh,EH16 4DT,0131 652  2004,17J,N,S08000024,S37000012,S01008705,Edinburgh North East - East,S01008705,S02001627,329136.0,671642.0
GP_70215,Craigmillar Medical Group,gp,329185.15,671626.07,S02001627,328642.0,671511.0,confirmed,OSM_exact_building,70215,Craigmillar Medical Group,11522,Craigmillar Medical Group,Craigmillar Medical Centre,106 Niddrie Mains Road,Edinburgh,EH16 4DT,0131 322  2111,17J,N,S08000024,S37000012,S01008705,Edinburgh North East - East,S01008705,S02001627,329136.0,671642.0
GP_70220,Ladywell Medical Centre (West),gp,319563.25,672681.88,S02001679,319696.0,672825.0,confirmed,OSM_exact_building,70220,Ladywell Medical Centre (West),10798,Ladywell Medical Centre (West),Ladywell Road,Edinburgh,,EH12 7TB,0131 334  3602,17J,N,S08000024,S37000012,S01008975,Edinburgh North West - Tower,S01008975,S02001679,319509.0,672661.0
GP_70234,The Long House Surgery,gp,325111.88,676533.94,S02001651,324718.0,676272.0,confirmed,OSM_exact_building,70234,The Long House Surgery,8115,The Long House Surgery,The Long House,73 East Trinity Road,Edinburgh,EH5 3EL,0131 552  4919,17J,N,S08000024,S37000012,S01008826,Edinburgh North West - Bridge,S01008826,S02001651,325118.0,676565.0
GP_70253,Whinpark Medical Practice,gp,320669.62,671264.03,S02001588,321250.0,670951.0,confirmed,OSM_exact_building,70253,Whinpark Medical Practice,11060,Whinpark Medical Practice,Whinpark Medical Centre,6 Saughton Road,Edinburgh,EH11 3RA,0131 455  7999,17J,N,S08000024,S37000012,S01008481,Edinburgh South West - Canal,S01008481,S02001588,320670.0,671264.0
